"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Northland","NZE","eligible",227,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","NZE","eligible",125,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","NZE","eligible",564,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","eligible",51,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","NZE","eligible",241,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","NZE","eligible",641,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","NZE","eligible",78,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","NZE","eligible",668,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","NZE","eligible",57,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","NZE","eligible",87,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","NZE","eligible",6181,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","NZE","full",326,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","full",333,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","NZE","full",875,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","full",350,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","full",350,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","full",180,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","full",179,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","NZE","full",133,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","NZE","full",247,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","full",229,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","NZE","full",191,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","NZE","full",118,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","NZE","full",537,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","full",49,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","NZE","full",225,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","NZE","full",585,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","NZE","full",74,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","NZE","full",617,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","NZE","full",54,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","NZE","full",78,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","NZE","full",5730,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","NZE","proportion",0.947674418604651,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","proportion",0.919889502762431,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","NZE","proportion",0.947995666305525,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","proportion",0.916230366492147,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","proportion",0.925925925925926,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","proportion",0.918367346938776,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","proportion",0.967567567567568,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","NZE","proportion",0.869281045751634,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","NZE","proportion",0.911439114391144,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","proportion",0.923387096774194,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","NZE","proportion",0.841409691629956,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","NZE","proportion",0.944,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","NZE","proportion",0.952127659574468,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","proportion",0.96078431372549,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","NZE","proportion",0.933609958506224,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","NZE","proportion",0.912636505460218,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","NZE","proportion",0.948717948717949,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","NZE","proportion",0.923652694610778,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","NZE","proportion",0.947368421052632,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","NZE","proportion",0.896551724137931,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","NZE","proportion",0.927034460443294,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","Maori","eligible",149,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","eligible",289,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","Maori","eligible",272,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","eligible",173,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","eligible",469,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","eligible",240,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","eligible",129,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","Maori","eligible",198,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","Maori","eligible",197,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","eligible",83,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","Maori","eligible",327,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","Maori","eligible",24,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","Maori","eligible",169,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","eligible",115,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","Maori","eligible",101,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","Maori","eligible",481,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","Maori","eligible",43,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","Maori","eligible",322,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","Maori","eligible",14,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","Maori","eligible",87,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","Maori","eligible",3882,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","Maori","full",128,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","full",243,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","Maori","full",253,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","full",159,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","full",393,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","full",211,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","full",106,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","Maori","full",159,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
