"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","NZE","full","349","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","NZE","full","234","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","NZE","full","769","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","NZE","full","336","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","NZE","full","249","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","NZE","full","196","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","NZE","full","200","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","NZE","full","95","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","NZE","full","233","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","NZE","full","211","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","NZE","full","144","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","NZE","full","103","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","NZE","full","501","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","NZE","full","25","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","NZE","full","186","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","NZE","full","459","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","NZE","full","75","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","NZE","full","552","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","NZE","full","56","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","NZE","full","83","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"National","NZE","full","5058","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","NZE","proportion","0.849148418491484","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","NZE","proportion","0.717791411042945","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","NZE","proportion","0.853496115427303","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","NZE","proportion","0.879581151832461","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
