"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"West Coast","Total","proportion",0.810198300283286,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","Total","proportion",0.87375415282392,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","Total","proportion",0.884882474483059,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","NZE","eligible",1538,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","eligible",1506,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","NZE","eligible",3695,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","eligible",1526,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","eligible",1545,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","eligible",994,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","eligible",874,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","NZE","eligible",562,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","NZE","eligible",1116,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","eligible",1038,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","NZE","eligible",899,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","NZE","eligible",482,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","NZE","eligible",2310,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","eligible",215,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
