"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Waitemata","NZE","eligible","512","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"West Coast","NZE","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Whanganui","NZE","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"National","NZE","eligible","954","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Auckland","NZE","full","115","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Bay of Plenty","NZE","full","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Canterbury","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Capital & Coast","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Counties Manukau","NZE","full","158","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hawkes Bay","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hutt Valley","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Lakes","NZE","full","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Midcentral","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Nelson Marlborough","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Northland","NZE","full","23","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Otago","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"South Canterbury","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Southland","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Tairawhiti","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Taranaki","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waikato","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Wairarapa","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waitemata","NZE","full","367","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"West Coast","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Whanganui","NZE","full","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"National","NZE","full","666","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Auckland","NZE","proportion","0.68452380952380953","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
