"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"National","Total","proportion","0.789914379249559","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","NZE","eligible","368","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","NZE","eligible","308","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","NZE","eligible","875","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","NZE","eligible","403","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","NZE","eligible","285","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","NZE","eligible","248","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","NZE","eligible","211","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","NZE","eligible","145","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","NZE","eligible","251","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","NZE","eligible","252","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","NZE","eligible","172","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","NZE","eligible","141","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","NZE","eligible","569","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","NZE","eligible","29","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","NZE","eligible","211","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","NZE","eligible","614","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","NZE","eligible","64","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","NZE","eligible","646","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","NZE","eligible","76","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","NZE","eligible","110","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"National","NZE","eligible","5980","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
