"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"West Coast","NZE","eligible","47","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","NZE","eligible","87","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","NZE","eligible","6486","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","NZE","full","384","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","full","310","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","NZE","full","902","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","full","392","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","full","353","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","full","206","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","full","200","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","NZE","full","107","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","NZE","full","251","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","full","244","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","NZE","full","171","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","NZE","full","109","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","NZE","full","564","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","full","57","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","NZE","full","217","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","NZE","full","575","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","NZE","full","61","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","NZE","full","673","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","NZE","full","41","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","NZE","full","82","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","NZE","full","5899","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","NZE","proportion","0.91866028708134","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","proportion","0.826666666666667","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","NZE","proportion","0.963675213675214","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","proportion","0.933333333333333","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","proportion","0.905128205128205","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","proportion","0.949308755760369","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","proportion","0.934579439252337","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","NZE","proportion","0.856","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","NZE","proportion","0.940074906367041","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","proportion","0.893772893772894","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","NZE","proportion","0.842364532019704","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","NZE","proportion","0.947826086956522","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","NZE","proportion","0.933774834437086","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","proportion","0.95","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","NZE","proportion","0.919491525423729","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","NZE","proportion","0.873860182370821","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","NZE","proportion","0.953125","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","NZE","proportion","0.866151866151866","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","NZE","proportion","0.872340425531915","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","NZE","proportion","0.942528735632184","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","NZE","proportion","0.909497378970089","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","Maori","eligible","150","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
